sample_id,manifest_order,file_name,pdf_page,content_type,route_hypothesis,selected_route,selected_parser,selected_profile,decision_status,quality_status,anchor_result,table_assertion_result,decision_reasons,selected_artifact
M2-P001,1,GBT 28592-2012降水量等级.pdf,4,clause_and_table,full_ocr_candidate,full_ocr,paddleocr-ppstructurev3,table_structure_heavy,approved,pass,1/2,2/2,ocr_quality_and_evidence_gates_passed,data/eval_results/m2-ocr-routed-heavy-v1-pages.jsonl
M2-P002,1,GBT 28592-2012降水量等级.pdf,5,table,full_ocr_candidate,full_ocr,paddleocr-ppstructurev3,table_structure_heavy,approved,pass,0/1,2/2,ocr_quality_and_evidence_gates_passed,data/eval_results/m2-ocr-routed-heavy-v1-pages.jsonl
M2-P003,1,GBT 28592-2012降水量等级.pdf,6,references,full_ocr_candidate,full_ocr,paddleocr-ppstructurev3,text_layout_light,needs_manual_review,review,0/0,not_applicable,ocr_low_confidence_gate,data/eval_results/m2-ocr-routed-light-v1-pages.jsonl
M2-P004,2,QXT 489－2019 降雨过程等级.pdf,2,blank,blank_skip_candidate,skip_blank,none,visual_blank,skip_blank,not_applicable,not_applicable,not_applicable,human_selected_visual_blank,data/registry/m2-page-sample-v0.csv
M2-P005,2,QXT 489－2019 降雨过程等级.pdf,3,toc,hybrid_candidate,hybrid_ocr,paddleocr-ppstructurev3,text_layout_light,approved,pass,0/0,not_applicable,ocr_quality_and_evidence_gates_passed,data/eval_results/m2-ocr-routed-light-v1-pages.jsonl
M2-P006,2,QXT 489－2019 降雨过程等级.pdf,9,clause_and_table,hybrid_candidate,hybrid_ocr,paddleocr-ppstructurev3,table_structure_heavy,approved,pass,1/2,1/1,ocr_quality_and_evidence_gates_passed,data/eval_results/m2-ocr-routed-heavy-v1-pages.jsonl
M2-P007,2,QXT 489－2019 降雨过程等级.pdf,10,clause_and_table,hybrid_candidate,hybrid_ocr,paddleocr-ppstructurev3,table_structure_heavy,approved,pass,1/2,2/2,ocr_quality_and_evidence_gates_passed,data/eval_results/m2-ocr-routed-heavy-v1-pages.jsonl
M2-P008,3,T_CECS_758-2020城镇排水管道混接调查及治理技术规程.pdf,10,clauses,native_candidate,native,pymupdf,native_text_and_blocks,approved,pass,1/1,not_applicable,native_quality_gate_passed,data/eval_results/m2-native-pymupdf-1.28.2-v1-pages.jsonl
M2-P009,3,T_CECS_758-2020城镇排水管道混接调查及治理技术规程.pdf,28,clause_and_table,native_candidate,native,pymupdf,native_text_and_blocks,needs_manual_review,pass,1/2,not_applicable,native_anchor_or_quality_gate_requires_review,data/eval_results/m2-native-pymupdf-1.28.2-v1-pages.jsonl
M2-P010,3,T_CECS_758-2020城镇排水管道混接调查及治理技术规程.pdf,35,rotated_table,native_candidate,native,pymupdf,native_text_and_blocks,approved,pass,0/0,not_applicable,native_quality_gate_passed,data/eval_results/m2-native-pymupdf-1.28.2-v1-pages.jsonl
