file_name,rel_path,sha256,size_mb,pages,text_coverage,extraction_route_candidate,std_no,metadata_source,document_kind,jurisdiction,official_source_uri,source_review,effective_status,same_standard_as,exact_duplicate_of,inventory_status,note
Chongqing-rain-sewage-guide-official.pdf,data/raw/_official_verification/Chongqing-rain-sewage-guide-official.pdf,4336797dedd12e80c15ac93a2a6862a014fc0e06f493e3fcc89a6c9dbbccceed,2.52,39,0.0,full_ocr_review,,,unknown,全国,,needs_review,unknown,,附件：重庆市城市排水管网雨污分流效果评价技术导则（试行）.pdf,exact_duplicate,SHA-256 相同；主文件 附件：重庆市城市排水管网雨污分流效果评价技术导则（试行）.pdf
DB4201-T651-2021-official.pdf,data/raw/_official_verification/DB4201-T651-2021-official.pdf,48429f3750209858c17ad3150e2af90722a69c549feb391c122a232d6e593c16,4.97,25,0.96,native,DB4201/T 651-2021,pdf_text,standard,未知(地方标准),,needs_review,unknown,武汉市排水管道混错接改造技术规程.pdf,武汉市排水管道混错接改造技术规程.pdf,exact_duplicate,SHA-256 相同；主文件 武汉市排水管道混错接改造技术规程.pdf
GBT-28592-2012-official.pdf,data/raw/_official_verification/GBT-28592-2012-official.pdf,f28bb600c89914f7611ed0b0818efdc485789c7b16463b770dcbd95cca4a8c81,1.61,7,0.0,full_ocr_review,,,unknown,全国,,needs_review,unknown,,GBT 28592-2012降水量等级.pdf,exact_duplicate,SHA-256 相同；主文件 GBT 28592-2012降水量等级.pdf
QXT-489-2019-official.pdf,data/raw/_official_verification/QXT-489-2019-official.pdf,89bb2c0c080e232e6cac515f5809b1b3452971afdf52918701ae1d5e7312a004,0.34,12,0.667,hybrid_review,,,unknown,全国,,needs_review,unknown,,QXT 489－2019 降雨过程等级.pdf,exact_duplicate,SHA-256 相同；主文件 QXT 489－2019 降雨过程等级.pdf
DBJ_T+13-477-2024+福建省建筑与小区雨污混接改造技术标准.pdf,data/raw/标准和规范&参考资料/DBJ_T+13-477-2024+福建省建筑与小区雨污混接改造技术标准.pdf,4722c42dc0a0e08adc6726589bf0dfd0d4ea3a04a38473f8f7d6c34a9d56e50c,1.13,85,1.0,native,DBJ/T 13-477-2024,filename,standard,福建,,needs_review,unknown,,,candidate,
GB50014-2021+室外排水设计标准+预览.pdf,data/raw/标准和规范&参考资料/GB50014-2021+室外排水设计标准+预览.pdf,c3c3df5ae9ca5bb77c34ee4506e194e4e588c8d5d0e14a3d43704ae710fdf9b1,39.57,117,0.0,full_ocr_review,GB 50014-2021,filename,standard,全国,,needs_review,unknown,,,candidate,抽样页未发现可用文字层；M2 需确认 OCR 路径
GB50268-2008给水排水管道工程施工及验收规范.pdf,data/raw/标准和规范&参考资料/GB50268-2008给水排水管道工程施工及验收规范.pdf,fd10712cb0f7164f1d21a1607a3b0e4d036d015da0c9bca2c9f2771270b495ed,50.2,255,0.0,full_ocr_review,GB 50268-2008,filename,standard,全国,,needs_review,unknown,,,candidate,抽样页未发现可用文字层；M2 需确认 OCR 路径
GBT 28592-2012降水量等级.pdf,data/raw/标准和规范&参考资料/GBT 28592-2012降水量等级.pdf,f28bb600c89914f7611ed0b0818efdc485789c7b16463b770dcbd95cca4a8c81,1.61,7,0.0,full_ocr_review,GB/T 28592-2012,filename,standard,全国,,needs_review,unknown,,,candidate,抽样页未发现可用文字层；M2 需确认 OCR 路径
QXT 489－2019 降雨过程等级.pdf,data/raw/标准和规范&参考资料/QXT 489－2019 降雨过程等级.pdf,89bb2c0c080e232e6cac515f5809b1b3452971afdf52918701ae1d5e7312a004,0.34,12,0.667,hybrid_review,QX/T 489-2019,filename,standard,全国,,needs_review,unknown,,,candidate,文字层覆盖不完整；M2 需按页确认原生解析或局部 OCR
T_CECS_758-2020城镇排水管道混接调查及治理技术规程.pdf,data/raw/标准和规范&参考资料/T_CECS_758-2020城镇排水管道混接调查及治理技术规程.pdf,f3b23a4668270f1612eb55f6ea90bc528b57e95ab36496901e6651102d330941,6.12,75,1.0,native,T/CECS 758-2020,filename,standard,全国,,needs_review,unknown,,,candidate,
TCECS+758-2020+城镇排水管道混接调查及治理技术规程.pdf,data/raw/标准和规范&参考资料/TCECS+758-2020+城镇排水管道混接调查及治理技术规程.pdf,468227cff7b0c938d526c89f73a077c49d272e56aca936ef710c32571ede1163,18.88,71,0.0,full_ocr_review,T/CECS 758-2020,filename,standard,全国,,needs_review,unknown,T_CECS_758-2020城镇排水管道混接调查及治理技术规程.pdf,,candidate,抽样页未发现可用文字层；M2 需确认 OCR 路径
“十四五”全国城市基础设施建设规划.pdf,data/raw/标准和规范&参考资料/“十四五”全国城市基础设施建设规划.pdf,25faa8b1ed7044dc62e602a2b8c7be16e1c39d61032f249bd2945ae003a313e7,0.39,36,1.0,native,,,policy,全国,,needs_review,unknown,,,candidate,
“十四五”城镇污水处理及资源化利用.pdf,data/raw/标准和规范&参考资料/“十四五”城镇污水处理及资源化利用.pdf,57ad29e2ffb994385464e9a124019e87ba5ed5cab3b51856dec2ad94183770a2,0.36,15,0.933,native,,,policy,全国,,needs_review,unknown,,,candidate,
《城乡排水工程项目规范》 (GB 55027-2022).pdf,data/raw/标准和规范&参考资料/《城乡排水工程项目规范》 (GB 55027-2022).pdf,60bfe78380e9533e32ef659b054daf9fa7f072557824b7ae759b51371f1ca41f,3.31,20,1.0,native,GB 55027-2022,filename,standard,全国,,needs_review,unknown,,,candidate,
城市排水工程规划规范.pdf,data/raw/标准和规范&参考资料/城市排水工程规划规范.pdf,c72e845491638b1f4b791ec922891d2443f4d5f7750e2e357f442412f27c57a0,4.68,60,0.975,native,CJJ 61-2018,filename,standard,全国,,needs_review,unknown,,,candidate,
《推进城市生活污水管网全覆盖及厂网一体长效机制建设工作指南(第一版)》.pdf,data/raw/标准和规范&参考资料/《推进城市生活污水管网全覆盖及厂网一体长效机制建设工作指南(第一版)》.pdf,9cd414feedc5f1891657291e60bd8f7bda122605d61be87e4f79faeb81d7800b,1.4,125,0.875,native,,,policy,全国,,needs_review,unknown,,,candidate,
住房城乡建设部等5部门关于加强城市生活污水管网建设和运行维护的通知_国务院部门文件_中国政府网.pdf,data/raw/标准和规范&参考资料/住房城乡建设部等5部门关于加强城市生活污水管网建设和运行维护的通知_国务院部门文件_中国政府网.pdf,76b7035435a3dd5d51104c77a5996e47a4deabe9fbfe0d8b6b504fbd4844cada,0.17,5,1.0,native,,,policy,全国,,needs_review,unknown,,,candidate,
城乡排水工程项目规范.pdf,data/raw/标准和规范&参考资料/城乡排水工程项目规范.pdf,60bfe78380e9533e32ef659b054daf9fa7f072557824b7ae759b51371f1ca41f,3.31,20,1.0,native,,,unknown,全国,,needs_review,unknown,,《城乡排水工程项目规范》 (GB 55027-2022).pdf,exact_duplicate,SHA-256 相同；主文件 《城乡排水工程项目规范》 (GB 55027-2022).pdf
城镇内涝防治技术规范.pdf,data/raw/标准和规范&参考资料/城镇内涝防治技术规范.pdf,1e4f99290e1e3b796134163de313968897a83650277d0b55f56a4c262739db82,9.38,42,0.0,full_ocr_review,GB 51222-2017,manual,standard,全国,,needs_review,unknown,,,candidate,抽样页未发现可用文字层；M2 需确认 OCR 路径
城镇分流制排水系统雨污混接调查 征求意见稿.pdf,data/raw/标准和规范&参考资料/城镇分流制排水系统雨污混接调查 征求意见稿.pdf,6b28141833a94c8578df528561c51f2610de1c06e8d69b8c8c416c73d4cdb7d1,0.89,63,0.95,native,,,policy,全国,,needs_review,unknown,,,candidate,
城镇污水管网入流入渗监测与评估标准TCECS1764-2024(1).pdf,data/raw/标准和规范&参考资料/城镇污水管网入流入渗监测与评估标准TCECS1764-2024(1).pdf,adf038d73f824faf79ffad3759b7887addfd0e5059a5222984a1eb00fb9dcd0f,16.11,52,0.0,full_ocr_review,T/CECS 1764-2024,filename,standard,全国,,needs_review,unknown,,,candidate,抽样页未发现可用文字层；M2 需确认 OCR 路径
城镇生活污水处理设施补短板强弱项实施方案.pdf,data/raw/标准和规范&参考资料/城镇生活污水处理设施补短板强弱项实施方案.pdf,f211a5eba097d50ce21af84b7077e535122be9c5faa317ed653cf44a956b40a4,0.27,5,1.0,native,,,policy,全国,,needs_review,unknown,,,candidate,
多普勒断面扫描式排水管道在线监测流量仪发布标准.pdf,data/raw/标准和规范&参考资料/多普勒断面扫描式排水管道在线监测流量仪发布标准.pdf,f280957b539ee92598d101e92e3a638c5235dd3a59a9dc81524caf016d8d046d,3.67,21,0.0,full_ocr_review,,,unknown,全国,,needs_review,unknown,,,candidate,抽样页未发现可用文字层；M2 需确认 OCR 路径
武汉市排水管道混错接改造技术规程.pdf,data/raw/标准和规范&参考资料/武汉市排水管道混错接改造技术规程.pdf,48429f3750209858c17ad3150e2af90722a69c549feb391c122a232d6e593c16,4.97,25,0.96,native,DB4201/T 651-2021,pdf_text,standard,武汉,,needs_review,unknown,,,candidate,
