sample_id,route_hypothesis,content_type,ocr_profile,mandatory_review_reason,status
M2-P001,full_ocr_candidate,clause_and_table,table_structure_heavy,,proposed_after_profile_comparison
M2-P002,full_ocr_candidate,table,table_structure_heavy,,proposed_after_profile_comparison
M2-P003,full_ocr_candidate,references,text_layout_light,,proposed_after_profile_comparison
M2-P005,hybrid_candidate,toc,text_layout_light,,proposed_after_profile_comparison
M2-P006,hybrid_candidate,clause_and_table,table_structure_heavy,,proposed_after_profile_comparison
M2-P007,hybrid_candidate,clause_and_table,table_structure_heavy,,proposed_after_profile_comparison
M2-P014,hybrid_candidate,clauses,text_layout_light,,proposed_after_profile_comparison
M2-P015,hybrid_candidate,sparse_clause,text_layout_light,,proposed_after_profile_comparison
M2-P016,hybrid_candidate,clause_and_table,table_structure_heavy,,proposed_after_profile_comparison
M2-P017,hybrid_candidate,clauses,text_layout_light,,proposed_after_profile_comparison
M2-P021,full_ocr_candidate,toc,text_layout_light,,proposed_after_profile_comparison
M2-P022,full_ocr_candidate,flowchart,text_layout_light,visual_structure,proposed_after_profile_comparison
M2-P023,full_ocr_candidate,clause_and_table,table_structure_heavy,,proposed_after_profile_comparison
M2-P024,full_ocr_candidate,formula,text_layout_light,formula_structure,proposed_after_profile_comparison
M2-P025,full_ocr_candidate,clause_and_tables,table_structure_heavy,,proposed_after_profile_comparison
M2-P026,full_ocr_candidate,tables,table_structure_heavy,,proposed_after_profile_comparison
M2-P027,full_ocr_candidate,clause_and_table,table_structure_heavy,,proposed_after_profile_comparison
M2-P034,full_ocr_candidate,toc,text_layout_light,,proposed_after_profile_comparison
M2-P035,full_ocr_candidate,clauses,text_layout_light,,proposed_after_profile_comparison
M2-P036,full_ocr_candidate,tables,table_structure_heavy,,proposed_after_profile_comparison
M2-P037,full_ocr_candidate,tables,table_structure_heavy,,proposed_after_profile_comparison
M2-P038,full_ocr_candidate,clauses_and_values,text_layout_light,,proposed_after_profile_comparison
M2-P039,full_ocr_candidate,clause_and_figure,text_layout_light,visual_structure,proposed_after_profile_comparison
M2-P040,full_ocr_candidate,dense_clauses,text_layout_light,,proposed_after_profile_comparison
